Date,CRIME_COUNT
2012-06-19,1005
2012-07-21,1065
2020-07-05,723
2020-07-14,603
2020-03-14,618
2021-01-17,537
2021-03-13,505
2021-03-15,492
2009-06-02,1144
2009-05-28,1261
2009-08-14,1261
2012-09-25,922
2012-10-08,901
2012-08-30,929
2012-09-17,901
2017-07-06,781
2017-08-17,768
2017-09-15,808
2020-06-15,577
2020-12-01,600
2020-11-30,491
2018-11-12,687
2010-09-16,1040
2019-11-08,680
2009-10-16,1151
2009-11-02,1002
2010-01-22,1094
2013-02-09,801
2012-08-10,914
2017-11-09,656
2013-05-28,848
2017-12-05,710
2018-09-06,741
2015-03-07,697
2015-03-16,779
2021-05-02,620
2010-02-08,845
2010-03-26,1068
2010-04-19,1022
2010-04-18,937
2013-06-28,910
2013-04-23,764
2013-08-11,896
2013-08-18,882
2018-06-27,827
2019-01-13,573
2019-02-03,596
2019-02-07,670
2018-09-15,809
2018-09-26,752
2021-10-02,699
2021-10-06,656
2021-12-07,520
2010-10-08,1183
2010-10-13,1039
2018-12-08,739
2019-02-10,638
2019-01-08,701
2019-04-19,650
2019-04-26,762
2010-09-12,1077
2010-09-29,1071
2011-01-24,844
2010-11-20,953
2010-11-11,1045
2010-12-15,906
2014-01-16,688
2013-11-01,1015
2014-04-15,749
2013-10-03,859
2014-01-02,485
2015-09-14,791
2015-10-09,795
2015-12-07,689
2015-12-20,693
2015-05-14,755
2011-05-19,1060
2011-05-20,1116
2011-06-14,1101
2011-03-10,946
2011-02-10,781
2015-05-28,800
2014-08-07,843
2016-02-15,553
2016-04-09,689
2016-08-02,793
2011-07-04,1031
2011-07-17,1042
2011-08-12,1130
2011-11-07,870
2011-11-15,1059
2014-12-02,650
2014-09-11,748
2014-09-01,1014
2014-09-25,751
2019-12-06,736
2019-09-16,806
2018-05-02,789
2016-09-10,767
2016-11-06,753
2011-12-19,940
2012-01-17,844
2011-09-26,942
2012-05-02,998
2012-02-03,897
2012-02-04,848
2012-02-14,775
2019-12-15,655
2020-08-27,590
2020-08-30,662
2020-12-21,614
2020-09-06,646
2016-12-15,580
2016-08-29,884
2016-12-26,647
2017-03-07,683
2017-03-13,541
2017-05-06,713
2017-05-10,663
2017-05-27,800
2017-06-28,707
2009-03-13,1220
2009-03-15,1049
2009-03-30,1066
2009-03-19,1093
2009-05-16,1138
2012-05-19,931
2012-04-08,820
2012-07-06,1027
2020-02-17,601
2020-09-12,563
2020-09-18,576
2020-09-19,589
2021-01-04,531
2020-10-05,567
2021-03-01,612
2021-03-14,456
2020-10-18,558
2009-06-01,1305
2009-07-11,1106
2012-08-04,1000
2012-09-24,869
2012-08-22,890
2012-08-25,1081
2015-05-26,770
2017-11-18,698
2017-08-13,730
2017-09-29,810
2017-10-20,849
2018-01-16,614
2018-01-30,637
2020-11-11,487
2020-12-04,579
2020-12-11,498
2018-03-06,653
2009-07-14,1144
2009-12-26,753
2009-10-04,962
2009-10-19,1112
2009-12-02,997
2013-03-29,874
2012-12-12,914
2013-04-25,876
